"","pert_iname","mean","n","median","sd","sRGES"
"9173","levobunolol",0.416325835037491,1,0.416325835037491,NA,0.416325835037491
"9174","BRD-K14395166",0.416328944045859,2,0.416328944045859,0.279444551051739,0.416328944045859
"9175","BRD-K62876373",0.416666666666667,1,0.416666666666667,NA,0.416666666666667
"9176","BRD-K24084946",0.416677981346365,1,0.416677981346365,NA,0.416677981346365
"9177","SA-1920890",0.416739391522265,3,0.428084526244035,0.129220985099444,0.416739391522265
"9178","BRD-K59870400",0.416754983582328,1,0.416754983582328,NA,0.416754983582328
"9179","F-1061-0166",0.416795860406768,13,0.546693933197001,0.457488242068223,0.416795860406768
"9180","BU-226",0.416837082481254,1,0.416837082481254,NA,0.416837082481254
"9181","BRD-K74436011",0.416872409247519,5,0.555303040842041,0.341670979244986,0.416872409247519
"9182","OM-137",0.416960494427095,7,0.570588591311771,0.397745348726617,0.416960494427095
"9183","BRD-K75627148",0.416962491287235,10,0.430429298198799,0.364777490901253,0.416962491287235
"9184","BRD-K40918107",0.416972106186228,2,0.416972106186228,0.534481608749082,0.416972106186228
"9185","BRD-K10421834",0.4169801319962,3,0.467620995228357,0.394615540860667,0.4169801319962
"9186","BRD-K87340398",0.41701881297554,1,0.41701881297554,NA,0.41701881297554
"9187","BRD-K19870323",0.417246867406128,3,0.595773687798228,0.354295353081199,0.417246867406128
"9188","bupropion",0.417472445857275,5,0.31786193827837,0.404697882695986,0.417472445857275
"9189","BRD-K91859707",0.417607062655266,1,0.417607062655266,NA,0.417607062655266
"9190","BRD-K56450018",0.417988943733904,4,0.43383761449055,0.353729305608634,0.417988943733904
"9191","MD-II-038",0.41816537609215,16,0.499780820350627,0.283453498018458,0.41816537609215
"9192","BRD-K20500634",0.418629557542791,2,0.418629557542791,0.598654820881863,0.418629557542791
"9193","KI-8751",0.418735570741627,19,0.590149965916837,0.375067008909121,0.418735570741627
"9194","BRD-K11742792",0.418799973357379,1,0.418799973357379,NA,0.418799973357379
"9195","SA-792709",0.41888770514769,27,0.400488478960544,0.356728025127285,0.41888770514769
"9196","BRD-K21991827",0.418970389171966,1,0.418970389171966,NA,0.418970389171966
"9197","BRD-K71523760",0.418985502199853,2,0.418985502199853,0.162342203773483,0.418985502199853
"9198","SA-1925996",0.41909407506695,3,0.569359236537151,0.502512608966506,0.41909407506695
"9199","devazepide",0.419225919424259,16,0.487407451756772,0.262034803324907,0.419225919424259
"9200","BRD-K45785972",0.419311220801142,2,0.419311220801142,0.700358659212034,0.419311220801142
"9201","BRD-K47587697",0.419396428708435,2,0.419396428708435,0.932566356442177,0.419396428708435
"9202","BRD-K34692511",0.419481636615729,1,0.419481636615729,NA,0.419481636615729
"9203","BRD-K83893121",0.419481636615729,2,0.419481636615729,0.605161938500144,0.419481636615729
"9204","BRD-K79489641",0.419528343405042,2,0.419528343405042,0.416280576588658,0.419528343405042
"9205","BRD-K60732356",0.419575050194354,1,0.419575050194354,NA,0.419575050194354
"9206","BG-1029",0.419610360186674,6,0.568336741649625,0.511698281935606,0.419610360186674
"9207","BRD-A06641369",0.419689494081883,3,0.589468302658487,0.461892388025014,0.419689494081883
"9208","GW-9508",0.419695873688649,7,0.432856169052488,0.213458375442987,0.419695873688649
"9209","BRD-K44401329",0.419907676152198,2,0.419907676152198,0.512977772241161,0.419907676152198
"9210","lylamine",0.419947134296454,14,0.501125924831073,0.413493595973102,0.419947134296454
"9211","XL-147",0.420050601041025,16,0.530589638718473,0.315826721962899,0.420050601041025
"9212","BRD-K26840329",0.420078091966786,2,0.420078091966786,0.530571090246143,0.420078091966786
"9213","BRD-K31175437",0.420238882501878,8,0.48210944847667,0.411884277807906,0.420238882501878
"9214","BRD-K95487462",0.420547066732668,6,0.658786489746174,0.524316320192586,0.420547066732668
"9215","fenretinide",0.420681783820232,34,0.485770279481936,0.389446551884476,0.420681783820232
